video_id,title,channel_name,category,views,likes,comments,duration,upload_date
ind001,Jawan Official Trailer,Red Chillies Entertainment,Entertainment,85000000,2100000,180000,180,2023-07-10
ind002,RRR Trailer,DVV Entertainment,Entertainment,92000000,2500000,220000,187,2022-12-09
ind003,KGF Chapter 2 Trailer,Hombale Films,Entertainment,78000000,2000000,160000,168,2022-03-27
ind004,Pushpa The Rise Trailer,Mythri Movie Makers,Entertainment,65000000,1700000,140000,175,2021-12-06
ind005,Baahubali 2 Trailer,Arka Media Works,Entertainment,110000000,3000000,250000,140,2017-03-16
ind006,Pathaan Trailer,YRF,Entertainment,88000000,2300000,200000,155,2023-01-10
ind007,Animal Teaser,T-Series,Entertainment,73000000,1900000,150000,120,2023-09-28
ind008,Dangal Trailer,Aamir Khan Productions,Entertainment,60000000,1500000,120000,160,2016-10-20
ind009,3 Idiots Trailer,Venus Movies,Entertainment,50000000,1300000,100000,210,2009-11-30
ind010,Sultan Trailer,YRF,Entertainment,58000000,1450000,115000,195,2016-05-24
ind011,Chennai Express Trailer,Red Chillies Entertainment,Entertainment,42000000,1000000,90000,150,2013-06-12
ind012,War Trailer,YRF,Entertainment,76000000,1800000,155000,165,2019-08-27
ind013,Brahmastra Trailer,Dharma Productions,Entertainment,69000000,1750000,130000,170,2022-06-15
ind014,PK Trailer,Rajkumar Hirani Films,Entertainment,54000000,1200000,95000,200,2014-10-23
ind015,Gadar 2 Trailer,Zee Studios,Entertainment,63000000,1600000,125000,185,2023-07-26
ind016,Drishyam 2 Trailer,Panorama Studios,Entertainment,48000000,1100000,85000,158,2022-11-21
ind017,Salaar Teaser,Hombale Films,Entertainment,82000000,2200000,175000,145,2023-07-06
ind018,Tiger 3 Trailer,YRF,Entertainment,90000000,2400000,210000,172,2023-10-16
ind019,Rocky Aur Rani Trailer,Dharma Productions,Entertainment,46000000,1050000,87000,162,2023-06-20
ind020,Kabir Singh Trailer,T-Series,Entertainment,71000000,1850000,145000,180,2019-05-13
