video_id,title,channel_name,category,views,likes,comments,duration,upload_date
ts001,Butta Bomma Song,Haarika & Hassine Creations,Music,980000000,7200000,350000,210,2020-02-14
ts002,Oo Antava Oo Oo Antava,Mythri Movie Makers,Music,650000000,4800000,290000,230,2021-12-10
ts003,Samajavaragamana,Aditya Music,Music,520000000,3900000,210000,195,2019-07-14
ts004,Inkem Inkem Inkem Kaavaale,Aditya Music,Music,480000000,3500000,180000,215,2018-08-15
ts005,Ramulo Ramulaa,Haarika & Hassine Creations,Music,610000000,4500000,250000,205,2020-01-06
ts006,Naatu Naatu,DVV Entertainment,Music,1200000000,9000000,420000,250,2022-11-10
ts007,Seeti Maar,Aditya Music,Music,300000000,2100000,120000,190,2017-03-28
ts008,Rowdy Baby,Lahari Music,Music,1400000000,9500000,500000,225,2019-01-02
ts009,Srivali,T-Series Telugu,Music,720000000,5100000,270000,240,2021-12-13
ts010,Jala Jala Jalapaatham,Hombale Films,Music,180000000,1400000,85000,200,2022-04-02
ts011,Neeli Neeli Aakasam,Aditya Music,Music,250000000,1700000,95000,210,2021-02-05
ts012,Top Lesi Poddi,Aditya Music,Music,210000000,1500000,80000,185,2013-09-19
ts013,Blockbuster Song,Aditya Music,Music,270000000,1900000,100000,205,2017-06-23
ts014,Sooseki,Hombale Films,Music,160000000,1200000,70000,215,2023-07-08
ts015,Peniviti,Lahari Music,Music,130000000,950000,55000,260,2018-12-20
ts016,Bullet Song,Saregama Telugu,Music,340000000,2300000,130000,220,2022-09-10
ts017,Daakko Daakko Meka,Mythri Movie Makers,Music,400000000,2900000,160000,215,2021-08-13
ts018,Saranga Dariya,Aditya Music,Music,600000000,4200000,210000,205,2021-02-28
ts019,Arabic Kuthu (Telugu Version),Sun Pictures,Music,310000000,2000000,115000,230,2022-02-14
ts020,Kumkumala Song,Dharma Productions,Music,290000000,2100000,125000,210,2022-07-17
